invoice_id,scenario,expected_action,ledger_entry_ids,bank_transaction_ids
INV-2026-000001,exact,AUTO_RECONCILE,LED-0000001,BNK-00000001
INV-2026-000002,exact,AUTO_RECONCILE,LED-0000002,BNK-00000002
INV-2026-000003,missing_ledger,FLAG_MISSING_LEDGER_ENTRY,,BNK-00000003
INV-2026-000004,exact,AUTO_RECONCILE,LED-0000003,BNK-00000004
INV-2026-000005,date_shift,INVESTIGATE_DATE_DIFFERENCE,LED-0000004,BNK-00000005
INV-2026-000006,duplicate_payment,FLAG_DUPLICATE_PAYMENT,LED-0000005,BNK-00000006|BNK-00000007
INV-2026-000007,exact,AUTO_RECONCILE,LED-0000006,BNK-00000008
INV-2026-000008,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000007,BNK-00000009
INV-2026-000009,missing_ledger,FLAG_MISSING_LEDGER_ENTRY,,BNK-00000010
INV-2026-000010,exact,AUTO_RECONCILE,LED-0000008,BNK-00000011
INV-2026-000011,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000012,duplicate_payment,FLAG_DUPLICATE_PAYMENT,LED-0000009,BNK-00000012|BNK-00000013
INV-2026-000013,bank_fee,REVIEW_POSSIBLE_BANK_FEE,LED-0000010,BNK-00000014
INV-2026-000014,exact,AUTO_RECONCILE,LED-0000011,BNK-00000015
INV-2026-000015,duplicate_payment,FLAG_DUPLICATE_PAYMENT,LED-0000012,BNK-00000016|BNK-00000017
INV-2026-000016,exact,AUTO_RECONCILE,LED-0000013,BNK-00000018
INV-2026-000017,exact,AUTO_RECONCILE,LED-0000014,BNK-00000019
INV-2026-000018,exact,AUTO_RECONCILE,LED-0000015,BNK-00000020
INV-2026-000019,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000020,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000016,BNK-00000021
INV-2026-000021,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000022,exact,AUTO_RECONCILE,LED-0000017,BNK-00000022
INV-2026-000023,exact,AUTO_RECONCILE,LED-0000018,BNK-00000023
INV-2026-000024,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000025,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000019,BNK-00000024
INV-2026-000026,exact,AUTO_RECONCILE,LED-0000020,BNK-00000025
