ledger_entry_id,invoice_id,vendor_id,vendor_name,posting_date,transaction_type,amount,currency,reference,gl_account,cost_center,description,status
LED-0001754,,V0038,Insight Services Limited,2026-01-03,ADJUSTMENT,227641.22,LKR,JRN-001754,2000-AP,IT,Reversal entry,POSTED
LED-0001786,,V0064,Redwood Textiles Limited,2026-01-03,REVERSAL,4048.75,EUR,JRN-001786,6990-ADJUSTMENTS,MKT,Reversal entry,POSTED
LED-0001792,,V0065,Pioneer Industries Incorporated,2026-01-05,ACCRUAL,3073.52,GBP,JRN-001792,6200-ADMIN,MKT,Reversal entry,POSTED
LED-0001715,,V0020,Global Solutions Limited,2026-01-06,ACCRUAL,4793.57,GBP,JRN-001715,6990-ADJUSTMENTS,OPS,Month-end accrual,POSTED
LED-0001770,,V0083,Metro Engineering Limited,2026-01-06,REVERSAL,3547.16,USD,JRN-001770,6990-ADJUSTMENTS,IT,Vendor balance adjustment,POSTED
LED-0001735,,V0049,Seacrest Consulting Incorporated,2026-01-09,ACCRUAL,1576.22,EUR,JRN-001735,6100-SERVICES,FIN,Reversal entry,POSTED
LED-0001773,,V0044,Evergreen Systems Incorporated,2026-01-11,ACCRUAL,3604.18,USD,JRN-001773,2000-AP,PROC,Reversal entry,POSTED
LED-0001790,,V0027,Pioneer Solutions Incorporated,2026-01-11,REVERSAL,221210.85,LKR,JRN-001790,6200-ADMIN,HR,Reversal entry,POSTED
LED-0001810,,V0051,Nova Systems Corporation,2026-01-11,ACCRUAL,3094.52,GBP,JRN-001810,6200-ADMIN,PROC,Vendor balance adjustment,POSTED
LED-0001767,,V0004,Delta Solutions Incorporated,2026-01-12,ACCRUAL,4802.81,GBP,JRN-001767,6200-ADMIN,LOG,Vendor balance adjustment,POSTED
LED-0001704,,V0019,Titan Foods Incorporated,2026-01-14,ADJUSTMENT,4729.5,GBP,JRN-001704,6200-ADMIN,OPS,Prior-period correction,POSTED
LED-0001744,,V0080,Vertex Textiles Corporation,2026-01-15,ACCRUAL,405378.73,LKR,JRN-001744,2000-AP,FIN,Reversal entry,POSTED
LED-0001802,,V0024,Unity Foods Limited,2026-01-16,ADJUSTMENT,4183.6,GBP,JRN-001802,2000-AP,IT,Prior-period correction,POSTED
LED-0001753,,V0007,Quantum Technologies Incorporated,2026-01-17,ADJUSTMENT,1637.6,USD,JRN-001753,2000-AP,MKT,Prior-period correction,POSTED
LED-0000235,INV-2026-000279,V0075,Vertex Packaging Limited,2026-01-19,PAYMENT,22946.69,GBP,INV-2026-000279,2000-AP,MKT,Payment against INV-2026-000279,POSTED
LED-0000469,INV-2026-000557,V0051,Nova Systems Corporation,2026-01-19,PAYMENT,13758.33,USD,INV-2026-000557,2010-AP-TRADE,IT,Payment against INV-2026-000557,POSTED
LED-0000773,INV-2026-000909,V0061,Silverline Services Limited,2026-01-19,PAYMENT,4105.38,GBP,INV-2026-000909,2010-AP-TRADE,LOG,Payment against INV-2026-000909,POSTED
